ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IS_2022-04-08.u1	ParlaMint-IS-en_2022-04-08	u	English	-	-	-	2	53	56	1	
ParlaMint-IS_2022-04-08.seg1.1	ParlaMint-IS_2022-04-08.u1	s	English	Neutral	neutral positive	2.586	1	27	29	0	
ParlaMint-IS_2022-04-08.seg1.2	ParlaMint-IS_2022-04-08.u1	s	English	Neutral	neutral positive	2.643	1	26	27	1	
ParlaMint-IS_2022-04-08.u2	ParlaMint-IS-en_2022-04-08	u	English	-	-	-	3	66	81	1	
ParlaMint-IS_2022-04-08.seg2.1	ParlaMint-IS_2022-04-08.u2	s	English	Negative	mixed negative	1.383	1	31	39	0	
ParlaMint-IS_2022-04-08.seg2.2	ParlaMint-IS_2022-04-08.u2	s	English	Neutral	neutral negative	2.119	1	18	24	1	
ParlaMint-IS_2022-04-08.seg2.3	ParlaMint-IS_2022-04-08.u2	s	English	Neutral	neutral positive	3.128	1	17	18	0	
ParlaMint-IS_2022-04-08.u3	ParlaMint-IS-en_2022-04-08	u	English	-	-	-	9	183	206	11	
ParlaMint-IS_2022-04-08.seg3.1	ParlaMint-IS_2022-04-08.u3	s	English	Positive	mixed positive	3.977	1	3	4	0	
ParlaMint-IS_2022-04-08.seg3.2	ParlaMint-IS_2022-04-08.u3	s	English	Neutral	neutral positive	3.198	1	10	12	0	
ParlaMint-IS_2022-04-08.seg3.3	ParlaMint-IS_2022-04-08.u3	s	English	Neutral	neutral negative	2.482	1	14	16	1	
ParlaMint-IS_2022-04-08.seg3.4	ParlaMint-IS_2022-04-08.u3	s	English	Neutral	neutral positive	2.832	1	21	26	2	
ParlaMint-IS_2022-04-08.seg3.5	ParlaMint-IS_2022-04-08.u3	s	English	Neutral	neutral positive	3.271	1	23	24	1	
ParlaMint-IS_2022-04-08.seg4.1	ParlaMint-IS_2022-04-08.u3	s	English	Positive	positive	4.877	1	14	15	0	
ParlaMint-IS_2022-04-08.seg4.2	ParlaMint-IS_2022-04-08.u3	s	English	Positive	positive	4.624	1	43	51	6	
