ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IS_2022-03-15-52.u1	ParlaMint-IS-en_2022-03-15-52	u	English	-	-	-	5	143	161	14	
ParlaMint-IS_2022-03-15-52.seg1.1	ParlaMint-IS_2022-03-15-52.u1	s	English	Neutral	neutral positive	2.502	1	25	29	2	
ParlaMint-IS_2022-03-15-52.seg1.2	ParlaMint-IS_2022-03-15-52.u1	s	English	Neutral	neutral positive	2.958	1	11	14	2	
ParlaMint-IS_2022-03-15-52.seg1.3	ParlaMint-IS_2022-03-15-52.u1	s	English	Neutral	neutral positive	2.812	1	30	33	3	
ParlaMint-IS_2022-03-15-52.seg2.1	ParlaMint-IS_2022-03-15-52.u1	s	English	Positive	positive	4.793	1	37	40	4	
ParlaMint-IS_2022-03-15-52.seg2.2	ParlaMint-IS_2022-03-15-52.u1	s	English	Positive	positive	4.862	1	40	45	3	
ParlaMint-IS_2022-03-15-52.u2	ParlaMint-IS-en_2022-03-15-52	u	English	-	-	-	2	45	48	2	
ParlaMint-IS_2022-03-15-52.seg3.1	ParlaMint-IS_2022-03-15-52.u2	s	English	Neutral	neutral positive	2.839	1	36	37	2	
ParlaMint-IS_2022-03-15-52.seg3.2	ParlaMint-IS_2022-03-15-52.u2	s	English	Negative	negative	0.403	1	9	11	0	
ParlaMint-IS_2022-03-15-52.u3	ParlaMint-IS-en_2022-03-15-52	u	English	-	-	-	3	98	114	2	
ParlaMint-IS_2022-03-15-52.seg4.1	ParlaMint-IS_2022-03-15-52.u3	s	English	Positive	mixed positive	3.689	1	3	4	0	
ParlaMint-IS_2022-03-15-52.seg4.2	ParlaMint-IS_2022-03-15-52.u3	s	English	Negative	negative	0.427	1	37	42	1	
ParlaMint-IS_2022-03-15-52.seg4.3	ParlaMint-IS_2022-03-15-52.u3	s	English	Negative	mixed negative	0.547	1	58	68	1	
ParlaMint-IS_2022-03-15-52.u4	ParlaMint-IS-en_2022-03-15-52	u	English	-	-	-	2	49	53	1	
ParlaMint-IS_2022-03-15-52.seg5.1	ParlaMint-IS_2022-03-15-52.u4	s	English	Neutral	neutral negative	2.019	1	25	27	1	
ParlaMint-IS_2022-03-15-52.seg5.2	ParlaMint-IS_2022-03-15-52.u4	s	English	Neutral	neutral negative	1.559	1	24	26	0	
ParlaMint-IS_2022-03-15-52.u5	ParlaMint-IS-en_2022-03-15-52	u	English	-	-	-	6	180	198	4	
ParlaMint-IS_2022-03-15-52.seg6.1	ParlaMint-IS_2022-03-15-52.u5	s	English	Neutral	neutral positive	3.179	1	2	3	0	
ParlaMint-IS_2022-03-15-52.seg6.2	ParlaMint-IS_2022-03-15-52.u5	s	English	Negative	negative	0.472	1	23	24	0	
ParlaMint-IS_2022-03-15-52.seg6.3	ParlaMint-IS_2022-03-15-52.u5	s	English	Negative	negative	0.301	1	40	43	0	
ParlaMint-IS_2022-03-15-52.seg6.4	ParlaMint-IS_2022-03-15-52.u5	s	English	Negative	negative	0.150	1	28	31	1	
ParlaMint-IS_2022-03-15-52.seg6.5	ParlaMint-IS_2022-03-15-52.u5	s	English	Negative	mixed negative	0.851	1	8	11	0	
ParlaMint-IS_2022-03-15-52.seg6.6	ParlaMint-IS_2022-03-15-52.u5	s	English	Negative	negative	0.282	1	79	86	3	
ParlaMint-IS_2022-03-15-52.u6	ParlaMint-IS-en_2022-03-15-52	u	English	-	-	-	3	133	147	2	
ParlaMint-IS_2022-03-15-52.seg7.1	ParlaMint-IS_2022-03-15-52.u6	s	English	Neutral	neutral positive	3.179	1	2	3	0	
ParlaMint-IS_2022-03-15-52.seg7.2	ParlaMint-IS_2022-03-15-52.u6	s	English	Negative	negative	0.285	1	102	113	2	
ParlaMint-IS_2022-03-15-52.seg7.3	ParlaMint-IS_2022-03-15-52.u6	s	English	Positive	mixed positive	4.053	1	29	31	0	
ParlaMint-IS_2022-03-15-52.u7	ParlaMint-IS-en_2022-03-15-52	u	English	-	-	-	10	144	162	1	
ParlaMint-IS_2022-03-15-52.seg8.1	ParlaMint-IS_2022-03-15-52.u7	s	English	Neutral	neutral positive	3.201	1	1	2	0	
ParlaMint-IS_2022-03-15-52.seg8.2	ParlaMint-IS_2022-03-15-52.u7	s	English	Neutral	neutral positive	2.945	1	17	19	1	
ParlaMint-IS_2022-03-15-52.seg8.3	ParlaMint-IS_2022-03-15-52.u7	s	English	Neutral	neutral positive	2.678	1	21	23	0	
ParlaMint-IS_2022-03-15-52.seg8.4	ParlaMint-IS_2022-03-15-52.u7	s	English	Positive	mixed positive	4.496	1	21	25	0	
ParlaMint-IS_2022-03-15-52.seg8.5	ParlaMint-IS_2022-03-15-52.u7	s	English	Negative	negative	0.380	1	9	10	0	
ParlaMint-IS_2022-03-15-52.seg8.6	ParlaMint-IS_2022-03-15-52.u7	s	English	Negative	negative	0.193	1	23	25	0	
