ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IS_2022-03-08-48.u1	ParlaMint-IS-en_2022-03-08-48	u	English	-	-	-	1	33	36	1	
ParlaMint-IS_2022-03-08-48.seg1.1	ParlaMint-IS_2022-03-08-48.u1	s	English	Neutral	neutral negative	2.047	1	33	36	1	
ParlaMint-IS_2022-03-08-48.u2	ParlaMint-IS-en_2022-03-08-48	u	English	-	-	-	4	145	155	3	
ParlaMint-IS_2022-03-08-48.seg2.1	ParlaMint-IS_2022-03-08-48.u2	s	English	Positive	mixed positive	3.689	1	3	4	0	
ParlaMint-IS_2022-03-08-48.seg2.2	ParlaMint-IS_2022-03-08-48.u2	s	English	Negative	negative	0.193	1	45	47	0	
ParlaMint-IS_2022-03-08-48.seg2.3	ParlaMint-IS_2022-03-08-48.u2	s	English	Neutral	neutral positive	3.044	1	12	13	1	
ParlaMint-IS_2022-03-08-48.seg2.4	ParlaMint-IS_2022-03-08-48.u2	s	English	Negative	negative	0.229	1	85	91	2	
ParlaMint-IS_2022-03-08-48.u3	ParlaMint-IS-en_2022-03-08-48	u	English	-	-	-	7	178	191	12	
ParlaMint-IS_2022-03-08-48.seg3.1	ParlaMint-IS_2022-03-08-48.u3	s	English	Positive	mixed positive	3.977	1	3	4	0	
ParlaMint-IS_2022-03-08-48.seg3.2	ParlaMint-IS_2022-03-08-48.u3	s	English	Neutral	neutral positive	2.574	1	21	22	3	
ParlaMint-IS_2022-03-08-48.seg3.3	ParlaMint-IS_2022-03-08-48.u3	s	English	Neutral	neutral positive	2.663	1	18	20	1	
ParlaMint-IS_2022-03-08-48.seg3.4	ParlaMint-IS_2022-03-08-48.u3	s	English	Neutral	neutral positive	2.593	1	26	28	2	
ParlaMint-IS_2022-03-08-48.seg3.5	ParlaMint-IS_2022-03-08-48.u3	s	English	Negative	negative	0.147	1	42	44	5	
ParlaMint-IS_2022-03-08-48.seg3.6	ParlaMint-IS_2022-03-08-48.u3	s	English	Negative	negative	0.117	1	36	38	0	
ParlaMint-IS_2022-03-08-48.seg3.7	ParlaMint-IS_2022-03-08-48.u3	s	English	Negative	negative	0.082	1	32	35	1	
ParlaMint-IS_2022-03-08-48.u4	ParlaMint-IS-en_2022-03-08-48	u	English	-	-	-	7	121	136	4	
ParlaMint-IS_2022-03-08-48.seg4.1	ParlaMint-IS_2022-03-08-48.u4	s	English	Neutral	neutral positive	3.179	1	2	3	0	
