ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IS_2022-03-29.u1	ParlaMint-IS-en_2022-03-29	u	English	-	-	-	11	145	163	1	
ParlaMint-IS_2022-03-29.seg1.1	ParlaMint-IS_2022-03-29.u1	s	English	Positive	mixed positive	3.977	1	3	4	0	
ParlaMint-IS_2022-03-29.seg1.2	ParlaMint-IS_2022-03-29.u1	s	English	Negative	negative	0.320	1	37	40	0	
ParlaMint-IS_2022-03-29.seg1.3	ParlaMint-IS_2022-03-29.u1	s	English	Neutral	neutral negative	1.848	1	5	6	0	
ParlaMint-IS_2022-03-29.seg1.4	ParlaMint-IS_2022-03-29.u1	s	English	Neutral	neutral negative	2.388	1	4	5	0	
ParlaMint-IS_2022-03-29.seg1.5	ParlaMint-IS_2022-03-29.u1	s	English	Negative	mixed negative	1.095	1	15	19	0	
ParlaMint-IS_2022-03-29.seg1.6	ParlaMint-IS_2022-03-29.u1	s	English	Negative	mixed negative	0.635	1	19	21	0	
ParlaMint-IS_2022-03-29.seg1.7	ParlaMint-IS_2022-03-29.u1	s	English	Neutral	neutral positive	3.243	1	2	3	0	
ParlaMint-IS_2022-03-29.seg1.8	ParlaMint-IS_2022-03-29.u1	s	English	Negative	negative	0.292	1	22	23	0	
ParlaMint-IS_2022-03-29.seg1.9	ParlaMint-IS_2022-03-29.u1	s	English	Negative	mixed negative	0.534	1	14	15	1	
ParlaMint-IS_2022-03-29.seg1.10	ParlaMint-IS_2022-03-29.u1	s	English	Negative	negative	-0.016	1	12	13	0	
ParlaMint-IS_2022-03-29.seg1.11	ParlaMint-IS_2022-03-29.u1	s	English	Negative	negative	0.186	1	12	14	0	
ParlaMint-IS_2022-03-29.u2	ParlaMint-IS-en_2022-03-29	u	English	-	-	-	59	1951	2124	18	
ParlaMint-IS_2022-03-29.seg2.1	ParlaMint-IS_2022-03-29.u2	s	English	Neutral	neutral positive	3.120	1	2	3	0	
ParlaMint-IS_2022-03-29.seg2.2	ParlaMint-IS_2022-03-29.u2	s	English	Neutral	neutral negative	1.661	1	28	30	0	
ParlaMint-IS_2022-03-29.seg2.3	ParlaMint-IS_2022-03-29.u2	s	English	Positive	positive	4.502	1	34	36	1	
ParlaMint-IS_2022-03-29.seg2.4	ParlaMint-IS_2022-03-29.u2	s	English	Negative	negative	0.295	1	34	35	0	
ParlaMint-IS_2022-03-29.seg2.5	ParlaMint-IS_2022-03-29.u2	s	English	Neutral	neutral positive	2.644	1	48	55	2	
ParlaMint-IS_2022-03-29.seg2.6	ParlaMint-IS_2022-03-29.u2	s	English	Negative	negative	0.262	1	40	42	0	
ParlaMint-IS_2022-03-29.seg2.7	ParlaMint-IS_2022-03-29.u2	s	English	Negative	negative	0.056	1	13	15	0	
ParlaMint-IS_2022-03-29.seg3.1	ParlaMint-IS_2022-03-29.u2	s	English	Negative	negative	0.348	1	48	55	0	
ParlaMint-IS_2022-03-29.seg3.2	ParlaMint-IS_2022-03-29.u2	s	English	Negative	mixed negative	0.977	1	9	10	0	
ParlaMint-IS_2022-03-29.seg3.3	ParlaMint-IS_2022-03-29.u2	s	English	Negative	mixed negative	1.174	1	58	61	0	
ParlaMint-IS_2022-03-29.seg3.4	ParlaMint-IS_2022-03-29.u2	s	English	Negative	mixed negative	1.281	1	26	29	0	
ParlaMint-IS_2022-03-29.seg4.1	ParlaMint-IS_2022-03-29.u2	s	English	Neutral	neutral positive	3.005	1	4	5	0	
