ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-DK_20220125125959	ParlaMint-DK-en_2022-01-25-20211-M50	u	English	-	-	-	8	189	264	37	
ParlaMint-DK_20220125125959.seg1.1	ParlaMint-DK_20220125125959	s	English	Positive	mixed positive	3.826	1	4	5	0	
ParlaMint-DK_20220125125959.seg1.2	ParlaMint-DK_20220125125959	s	English	Neutral	neutral negative	2.240	1	77	125	26	
ParlaMint-DK_20220125125959.seg1.3	ParlaMint-DK_20220125125959	s	English	Neutral	neutral negative	2.211	1	73	90	10	
ParlaMint-DK_20220125125959.seg1.4	ParlaMint-DK_20220125125959	s	English	Neutral	neutral positive	2.591	1	10	11	0	
ParlaMint-DK_20220125125959.seg1.5	ParlaMint-DK_20220125125959	s	English	Neutral	neutral positive	3.175	1	2	4	0	
ParlaMint-DK_20220125125959.seg1.6	ParlaMint-DK_20220125125959	s	English	Neutral	neutral negative	2.429	1	15	18	1	
ParlaMint-DK_20220125125959.seg1.7	ParlaMint-DK_20220125125959	s	English	Neutral	neutral positive	3.149	1	1	2	0	
ParlaMint-DK_20220125125959.seg1.8	ParlaMint-DK_20220125125959	s	English	Neutral	neutral positive	2.712	1	7	9	0	
ParlaMint-DK_20220125130112	ParlaMint-DK-en_2022-01-25-20211-M50	u	English	-	-	-	3	72	80	7	
ParlaMint-DK_20220125130112.seg2.1	ParlaMint-DK_20220125130112	s	English	Neutral	neutral positive	2.676	1	52	57	7	
ParlaMint-DK_20220125130112.seg2.2	ParlaMint-DK_20220125130112	s	English	Neutral	neutral positive	3.011	1	8	9	0	
ParlaMint-DK_20220125130112.seg2.3	ParlaMint-DK_20220125130112	s	English	Neutral	neutral negative	2.171	1	12	14	0	
ParlaMint-DK_20220125130142	ParlaMint-DK-en_2022-01-25-20211-M50	u	English	-	-	-	4	52	67	4	
ParlaMint-DK_20220125130142.seg3.1	ParlaMint-DK_20220125130142	s	English	Neutral	neutral positive	2.749	1	16	17	0	
