ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-DK_20220211100003	ParlaMint-DK-en_2022-02-11-20211-M61	u	English	-	-	-	11	240	289	16	
ParlaMint-DK_20220211100003.seg1.1	ParlaMint-DK_20220211100003	s	English	Positive	mixed positive	3.826	1	4	5	0	
ParlaMint-DK_20220211100003.seg1.2	ParlaMint-DK_20220211100003	s	English	Neutral	neutral positive	3.149	1	11	16	1	
ParlaMint-DK_20220211100003.seg1.3	ParlaMint-DK_20220211100003	s	English	Neutral	neutral positive	2.674	1	19	23	0	
ParlaMint-DK_20220211100003.seg1.4	ParlaMint-DK_20220211100003	s	English	Neutral	neutral positive	2.770	1	53	70	3	
ParlaMint-DK_20220211100003.seg1.5	ParlaMint-DK_20220211100003	s	English	Neutral	neutral positive	2.641	1	5	8	2	
ParlaMint-DK_20220211100003.seg1.6	ParlaMint-DK_20220211100003	s	English	Neutral	neutral negative	1.607	1	77	82	6	
ParlaMint-DK_20220211100003.seg1.7	ParlaMint-DK_20220211100003	s	English	Neutral	neutral negative	2.388	1	12	16	0	
ParlaMint-DK_20220211100003.seg1.8	ParlaMint-DK_20220211100003	s	English	Negative	mixed negative	1.236	1	35	40	4	
ParlaMint-DK_20220211100003.seg1.9	ParlaMint-DK_20220211100003	s	English	Neutral	neutral positive	2.877	1	1	3	0	
ParlaMint-DK_20220211100003.seg1.10	ParlaMint-DK_20220211100003	s	English	Neutral	neutral positive	2.760	1	10	11	0	
ParlaMint-DK_20220211100003.seg1.11	ParlaMint-DK_20220211100003	s	English	Neutral	neutral negative	1.594	1	13	15	0	
ParlaMint-DK_20220211100054	ParlaMint-DK-en_2022-02-11-20211-M61	u	English	-	-	-	2	8	10	1	
ParlaMint-DK_20220211100054.seg2.1	ParlaMint-DK_20220211100054	s	English	Neutral	neutral positive	3.164	1	4	5	0	
ParlaMint-DK_20220211100054.seg2.2	ParlaMint-DK_20220211100054	s	English	Neutral	neutral positive	3.442	1	4	5	1	
ParlaMint-DK_20220211100120	ParlaMint-DK-en_2022-02-11-20211-M61	u	English	-	-	-	79	2023	2240	20	
ParlaMint-DK_20220211100120.seg3.1	ParlaMint-DK_20220211100120	s	English	Positive	mixed positive	4.234	1	2	3	0	
ParlaMint-DK_20220211100120.seg3.2	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.878	1	32	33	1	
ParlaMint-DK_20220211100120.seg3.3	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.546	1	80	86	1	
ParlaMint-DK_20220211100120.seg3.4	ParlaMint-DK_20220211100120	s	English	Neutral	neutral negative	2.040	1	26	28	0	
ParlaMint-DK_20220211100120.seg3.5	ParlaMint-DK_20220211100120	s	English	Positive	mixed positive	3.790	1	33	36	0	
ParlaMint-DK_20220211100120.seg3.6	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.146	1	18	19	0	
ParlaMint-DK_20220211100120.seg3.7	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	3.467	1	24	29	0	
ParlaMint-DK_20220211100120.seg3.8	ParlaMint-DK_20220211100120	s	English	Positive	positive	4.688	1	19	20	1	
ParlaMint-DK_20220211100120.seg3.9	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.026	1	34	36	0	
ParlaMint-DK_20220211100120.seg3.10	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.991	1	37	41	0	
ParlaMint-DK_20220211100120.seg3.11	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.591	1	15	16	0	
ParlaMint-DK_20220211100120.seg3.12	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	3.010	1	8	9	0	
ParlaMint-DK_20220211100120.seg3.13	ParlaMint-DK_20220211100120	s	English	Positive	mixed positive	4.033	1	5	6	0	
ParlaMint-DK_20220211100120.seg3.14	ParlaMint-DK_20220211100120	s	English	Neutral	neutral negative	2.183	1	5	6	0	
ParlaMint-DK_20220211100120.seg3.15	ParlaMint-DK_20220211100120	s	English	Positive	mixed positive	3.850	1	7	8	0	
ParlaMint-DK_20220211100120.seg3.16	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.645	1	33	36	1	
ParlaMint-DK_20220211100120.seg3.17	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	3.202	1	25	28	0	
ParlaMint-DK_20220211100120.seg3.18	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	0.622	1	32	33	0	
ParlaMint-DK_20220211100120.seg3.19	ParlaMint-DK_20220211100120	s	English	Neutral	neutral negative	1.854	1	18	20	0	
ParlaMint-DK_20220211100120.seg3.20	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.304	1	13	16	0	
ParlaMint-DK_20220211100120.seg3.21	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.169	1	14	15	0	
ParlaMint-DK_20220211100120.seg3.22	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.384	1	39	42	0	
ParlaMint-DK_20220211100120.seg3.23	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.401	1	13	16	0	
ParlaMint-DK_20220211100120.seg3.24	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.228	1	12	15	0	
ParlaMint-DK_20220211100120.seg3.25	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	0.599	1	25	27	0	
ParlaMint-DK_20220211100120.seg3.26	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.141	1	10	12	0	
ParlaMint-DK_20220211100120.seg3.27	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.423	1	27	31	2	
ParlaMint-DK_20220211100120.seg3.28	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.992	1	24	25	0	
ParlaMint-DK_20220211100120.seg3.29	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	0.807	1	39	43	0	
ParlaMint-DK_20220211100120.seg3.30	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.065	1	25	29	4	
ParlaMint-DK_20220211100120.seg3.31	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	0.520	1	22	24	2	
ParlaMint-DK_20220211100120.seg3.32	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.039	1	34	40	0	
ParlaMint-DK_20220211100120.seg3.33	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.358	1	31	34	0	
ParlaMint-DK_20220211100120.seg3.34	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.007	1	26	27	1	
ParlaMint-DK_20220211100120.seg3.35	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.167	1	10	11	0	
ParlaMint-DK_20220211100120.seg3.36	ParlaMint-DK_20220211100120	s	English	Positive	mixed positive	3.508	1	4	5	0	
ParlaMint-DK_20220211100120.seg3.37	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.146	1	52	60	1	
ParlaMint-DK_20220211100120.seg3.38	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.432	1	32	37	1	
ParlaMint-DK_20220211100120.seg3.39	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.342	1	59	63	0	
ParlaMint-DK_20220211100120.seg3.40	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.233	1	8	11	0	
ParlaMint-DK_20220211100120.seg3.41	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	0.558	1	10	12	0	
ParlaMint-DK_20220211100120.seg3.42	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	0.505	1	40	46	0	
ParlaMint-DK_20220211100120.seg3.43	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.231	1	21	25	0	
ParlaMint-DK_20220211100120.seg3.44	ParlaMint-DK_20220211100120	s	English	Neutral	neutral negative	1.622	1	11	12	0	
ParlaMint-DK_20220211100120.seg3.45	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.324	1	27	30	0	
ParlaMint-DK_20220211100120.seg3.46	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	0.661	1	16	18	0	
ParlaMint-DK_20220211100120.seg3.47	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.799	1	21	23	0	
ParlaMint-DK_20220211100120.seg3.48	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	0.798	1	69	74	1	
ParlaMint-DK_20220211100120.seg3.49	ParlaMint-DK_20220211100120	s	English	Neutral	neutral negative	1.859	1	26	28	0	
ParlaMint-DK_20220211100120.seg3.50	ParlaMint-DK_20220211100120	s	English	Neutral	neutral negative	1.988	1	56	61	0	
ParlaMint-DK_20220211100120.seg3.51	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.079	1	29	33	0	
ParlaMint-DK_20220211100120.seg3.52	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	3.427	1	6	7	0	
ParlaMint-DK_20220211100120.seg3.53	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.174	1	32	35	0	
ParlaMint-DK_20220211100120.seg3.54	ParlaMint-DK_20220211100120	s	English	Neutral	neutral negative	2.478	1	14	16	0	
ParlaMint-DK_20220211100120.seg3.55	ParlaMint-DK_20220211100120	s	English	Positive	positive	4.585	1	32	34	0	
ParlaMint-DK_20220211100120.seg3.56	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.744	1	9	10	0	
ParlaMint-DK_20220211100120.seg3.57	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.731	1	35	39	0	
ParlaMint-DK_20220211100120.seg3.58	ParlaMint-DK_20220211100120	s	English	Positive	mixed positive	3.585	1	21	23	1	
ParlaMint-DK_20220211100120.seg3.59	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.003	1	46	50	0	
ParlaMint-DK_20220211100120.seg3.60	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.107	1	32	36	0	
ParlaMint-DK_20220211100120.seg3.61	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.302	1	23	26	0	
ParlaMint-DK_20220211100120.seg3.62	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	3.048	1	43	50	1	
ParlaMint-DK_20220211100120.seg3.63	ParlaMint-DK_20220211100120	s	English	Neutral	neutral negative	1.768	1	11	14	0	
ParlaMint-DK_20220211100120.seg3.64	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.815	1	20	21	0	
ParlaMint-DK_20220211100120.seg3.65	ParlaMint-DK_20220211100120	s	English	Neutral	neutral positive	2.537	1	9	13	0	
ParlaMint-DK_20220211100120.seg3.66	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	1.401	1	47	50	0	
ParlaMint-DK_20220211100120.seg3.67	ParlaMint-DK_20220211100120	s	English	Positive	mixed positive	3.951	1	42	45	0	
ParlaMint-DK_20220211100120.seg3.68	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.110	1	39	44	0	
ParlaMint-DK_20220211100120.seg3.69	ParlaMint-DK_20220211100120	s	English	Negative	mixed negative	0.548	1	8	9	0	
ParlaMint-DK_20220211100120.seg3.70	ParlaMint-DK_20220211100120	s	English	Negative	negative	0.297	1	8	10	0	
ParlaMint-DK_20220211100120.seg3.71	ParlaMint-DK_20220211100120	s	English	Positive	mixed positive	3.652	1	13	14	0	
