ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-DK_20220421101501	ParlaMint-DK-en_2022-04-21-20211-M94	u	English	-	-	-	1	4	5	0	
ParlaMint-DK_20220421101501.seg1.1	ParlaMint-DK_20220421101501	s	English	Positive	mixed positive	3.826	1	4	5	0	
ParlaMint-DK_20220421101509	ParlaMint-DK-en_2022-04-21-20211-M94	u	English	-	-	-	3	41	46	1	
ParlaMint-DK_20220421101509.seg2.1	ParlaMint-DK_20220421101509	s	English	Neutral	neutral negative	2.112	1	23	25	1	
ParlaMint-DK_20220421101509.seg2.2	ParlaMint-DK_20220421101509	s	English	Neutral	neutral positive	2.850	1	12	14	0	
ParlaMint-DK_20220421101509.seg2.3	ParlaMint-DK_20220421101509	s	English	Positive	mixed positive	4.154	1	6	7	0	
ParlaMint-DK_20220421101519	ParlaMint-DK-en_2022-04-21-20211-M94	u	English	-	-	-	2	16	18	0	
ParlaMint-DK_20220421101519.seg3.1	ParlaMint-DK_20220421101519	s	English	Neutral	neutral positive	2.965	1	10	11	0	
ParlaMint-DK_20220421101519.seg3.2	ParlaMint-DK_20220421101519	s	English	Positive	mixed positive	4.154	1	6	7	0	
ParlaMint-DK_20220421101554	ParlaMint-DK-en_2022-04-21-20211-M94	u	English	-	-	-	6	113	172	29	
ParlaMint-DK_20220421101554.seg4.1	ParlaMint-DK_20220421101554	s	English	Neutral	neutral positive	2.972	1	18	19	0	
ParlaMint-DK_20220421101554.seg4.2	ParlaMint-DK_20220421101554	s	English	Neutral	neutral positive	3.382	1	4	5	0	
ParlaMint-DK_20220421101554.seg4.3	ParlaMint-DK_20220421101554	s	English	Neutral	neutral negative	2.411	1	46	77	18	
ParlaMint-DK_20220421101554.seg4.4	ParlaMint-DK_20220421101554	s	English	Neutral	neutral positive	2.751	1	4	5	0	
ParlaMint-DK_20220421101554.seg4.5	ParlaMint-DK_20220421101554	s	English	Neutral	neutral positive	2.566	1	29	52	11	
ParlaMint-DK_20220421101554.seg4.6	ParlaMint-DK_20220421101554	s	English	Neutral	neutral positive	3.121	1	12	14	0	
ParlaMint-DK_20220421101652	ParlaMint-DK-en_2022-04-21-20211-M94	u	English	-	-	-	7	122	168	19	
