ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-DK_20220315130002	ParlaMint-DK-en_2022-03-15-20211-M74	u	English	-	-	-	29	726	880	69	
ParlaMint-DK_20220315130002.seg1.1	ParlaMint-DK_20220315130002	s	English	Positive	mixed positive	3.826	1	4	5	0	
ParlaMint-DK_20220315130002.seg1.2	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	2.146	1	25	33	2	
ParlaMint-DK_20220315130002.seg1.3	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	2.502	1	25	30	2	
ParlaMint-DK_20220315130002.seg1.4	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	2.306	1	45	65	12	
ParlaMint-DK_20220315130002.seg1.5	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	2.986	1	7	11	2	
ParlaMint-DK_20220315130002.seg1.6	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	3.237	1	21	25	1	
ParlaMint-DK_20220315130002.seg1.7	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	1.908	1	40	48	2	
ParlaMint-DK_20220315130002.seg1.8	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	2.665	1	25	33	3	
ParlaMint-DK_20220315130002.seg1.9	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	1.753	1	50	62	4	
ParlaMint-DK_20220315130002.seg1.10	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	2.220	1	82	100	9	
ParlaMint-DK_20220315130002.seg1.11	ParlaMint-DK_20220315130002	s	English	Negative	mixed negative	1.472	1	47	57	2	
ParlaMint-DK_20220315130002.seg1.12	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	1.994	1	52	63	7	
ParlaMint-DK_20220315130002.seg1.13	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	2.448	1	10	13	0	
ParlaMint-DK_20220315130002.seg1.14	ParlaMint-DK_20220315130002	s	English	Negative	mixed negative	1.141	1	41	45	6	
ParlaMint-DK_20220315130002.seg1.15	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	3.091	1	2	4	0	
ParlaMint-DK_20220315130002.seg1.16	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	2.760	1	10	11	0	
ParlaMint-DK_20220315130002.seg1.17	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	1.594	1	13	15	0	
ParlaMint-DK_20220315130002.seg1.18	ParlaMint-DK_20220315130002	s	English	Negative	mixed negative	1.329	1	36	42	2	
ParlaMint-DK_20220315130002.seg1.19	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	3.067	1	2	4	0	
ParlaMint-DK_20220315130002.seg1.20	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	2.760	1	10	11	0	
ParlaMint-DK_20220315130002.seg1.21	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	1.594	1	13	15	0	
ParlaMint-DK_20220315130002.seg1.22	ParlaMint-DK_20220315130002	s	English	Negative	mixed negative	1.065	1	38	49	8	
ParlaMint-DK_20220315130002.seg1.23	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	3.117	1	2	4	0	
ParlaMint-DK_20220315130002.seg1.24	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	2.380	1	6	7	0	
ParlaMint-DK_20220315130002.seg1.25	ParlaMint-DK_20220315130002	s	English	Neutral	neutral negative	2.419	1	55	59	2	
ParlaMint-DK_20220315130002.seg1.26	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	3.126	1	4	5	0	
ParlaMint-DK_20220315130002.seg1.27	ParlaMint-DK_20220315130002	s	English	Positive	mixed positive	4.075	1	3	4	0	
ParlaMint-DK_20220315130002.seg1.28	ParlaMint-DK_20220315130002	s	English	Neutral	neutral positive	2.529	1	52	53	5	
ParlaMint-DK_20220315130002.seg1.29	ParlaMint-DK_20220315130002	s	English	Positive	mixed positive	3.774	1	6	7	0	
ParlaMint-DK_20220315130317	ParlaMint-DK-en_2022-03-15-20211-M74	u	English	-	-	-	1	43	46	3	
ParlaMint-DK_20220315130317.seg2.1	ParlaMint-DK_20220315130317	s	English	Neutral	neutral negative	2.312	1	43	46	3	
ParlaMint-DK_20220315130329	ParlaMint-DK-en_2022-03-15-20211-M74	u	English	-	-	-	5	78	106	12	
ParlaMint-DK_20220315130329.seg3.1	ParlaMint-DK_20220315130329	s	English	Neutral	neutral positive	2.549	1	36	39	0	
ParlaMint-DK_20220315130329.seg3.2	ParlaMint-DK_20220315130329	s	English	Neutral	neutral positive	3.263	1	5	6	0	
ParlaMint-DK_20220315130329.seg3.3	ParlaMint-DK_20220315130329	s	English	Neutral	neutral positive	2.751	1	4	5	0	
ParlaMint-DK_20220315130329.seg3.4	ParlaMint-DK_20220315130329	s	English	Neutral	neutral positive	2.685	1	29	51	12	
ParlaMint-DK_20220315130329.seg3.5	ParlaMint-DK_20220315130329	s	English	Positive	mixed positive	4.445	1	4	5	0	
ParlaMint-DK_20220315130359	ParlaMint-DK-en_2022-03-15-20211-M74	u	English	-	-	-	2	26	29	0	
