ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u1	ParlaMint-IT-en_2022-07-12-LEG18-Senato-sed-451	u	English	-	-	-	5	37	45	1	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.seg1.1	ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u1	s	English	Positive	mixed positive	3.656	1	7	7	0	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.seg1.2	ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u1	s	English	Neutral	neutral positive	2.730	1	5	6	0	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.seg1.3	ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u1	s	English	Neutral	neutral positive	2.797	1	12	15	1	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.seg1.4	ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u1	s	English	Positive	mixed positive	3.687	1	4	6	0	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.seg1.5	ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u1	s	English	Neutral	neutral positive	3.184	1	9	11	0	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u2	ParlaMint-IT-en_2022-07-12-LEG18-Senato-sed-451	u	English	-	-	-	1	32	35	2	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.seg2.1	ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u2	s	English	Neutral	neutral negative	1.990	1	32	35	2	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u3	ParlaMint-IT-en_2022-07-12-LEG18-Senato-sed-451	u	English	-	-	-	1	70	77	5	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.seg3.1	ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u3	s	English	Neutral	neutral negative	2.370	1	70	77	5	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u4	ParlaMint-IT-en_2022-07-12-LEG18-Senato-sed-451	u	English	-	-	-	2	56	65	3	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.seg4.1	ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u4	s	English	Neutral	neutral positive	2.552	1	18	19	1	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.seg4.2	ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u4	s	English	Neutral	neutral negative	2.410	1	38	46	2	
ParlaMint-IT_2022-07-12-LEG18-Senato-sed-451.ana.u5	ParlaMint-IT-en_2022-07-12-LEG18-Senato-sed-451	u	English	-	-	-	18	421	475	17	
