word,score
orlam,6.9258974032173315
___________________________________________________________________________,1.8476540089954454
____________,1.2966195691747984
herzlichst,1.2613643527997742
____,0.9724426636314379
présent,0.6802028247505858
banzai,0.6516198735900817
original,0.6172156270823828
dr,0.5943923488874275
entfernt,0.587651070979001
parenthesen,0.5864578862310735
postage,0.5253869563116601
beginsels,0.5253869563116601
apez,0.5253869563116601
eerste,0.5029655512138773
grüssend,0.5024405650658362
tijdschrift,0.4940684964728809
zeichnung,0.49393499661448603
rappeler,0.492781976856438
london,0.4906752408163627
capitulo,0.4728533597495421
street,0.4127770610273372
fehlt,0.40709353731867154
___________________________________,0.3795975947293843
______,0.3795975947293843
___________________,0.3795975947293843
___________,0.3795975947293843
______________,0.3795975947293843
_______________________________,0.3795975947293843
__________________________________________________,0.3795975947293843
besonderen,0.35538274598694064
gavevo,0.3514792543790595
klawel,0.3514792543790595
klawet,0.3514792543790595
escompte,0.34485529255206465
threadneedle,0.34485529255206465
manila,0.32556710049429477
nal,0.32386867169896855
dank,0.3183752360678438
bulhão,0.3107955105716138
vex,0.2837152169512336
teil,0.2727388441013162
lisez,0.2685938062373404
mil,0.26594315836699883
schuchardt,0.2606779130860496
mo,0.2602454742907005
197,0.2600360507752005
england,0.260000388387531
hugo,0.2494713501205606
52,0.24896787758717476
pato,0.24883276418888794
zangon,0.23489484948818812
madras,0.2226332772229698
24,0.2043929191777357
saluti,0.18940253884214472
льно,0.1891799633003463
púl,0.1891799633003463
tausend,0.18893660750298283
scan,0.1870082045445073
occ,0.18527568617733037
бо,0.1804619093641629
perugia,0.18008323674419546
zwei,0.17972836282739918
seite,0.17931226371891162
88,0.17868745829774088
kн,0.174276823813817
tiflis,0.17419504180554235
voraus,0.16946453885973004
81,0.16723765294023082
expression,0.16282700880913742
sr,0.16226285609847327
zeile,0.15447394268123535
28,0.15082733074526994
184,0.14217319837442965
kaja,0.14188497247525972
kije,0.14188497247525972
migur,0.14188497247525972
siehe,0.14163004860838416
oxford,0.140105987636655
im,0.13919825451785156
